X,Y,FID,OBJECTID,ID,INV_MOVIMI,F35DOV_TIP,TIPO,SUBTIPO_MO,SUBTIPO,CLAS_MAPA,ETIQUETA_M,ESRI_OID
-8430070.4274,258331.820599999,1,-7.58397098089e+56,1752,31553,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,130
-8442006.3505,251832.989500001,2,-7.58397098089e+56,1753,31534,67,Caida,20,Caida de detritos,Caida,cd,131
-8442964.935,256351.1963,3,-7.58397098089e+56,1754,31551,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,132
-8442624.7922,255639.4155,4,-7.58397098089e+56,1755,31540,67,Caida,15,Caida de roca,Caida,cr,133
-8442501.1039,255391.840399999,5,-7.58397098089e+56,1757,31538,67,Caida,15,Caida de roca,Caida,cr,134
-8492594.8747,178319.9439,6,-7.58397098088e+56,1758,30097,67,Caida,20,Caida de detritos,Caida,cd,135
-8488142.0951,183795.357700001,7,-7.58397098088e+56,1760,30093,67,Caida,15,Caida de roca,Caida,cr,136
-8484709.7441,187352.9023,8,-7.58397098088e+56,1762,30090,72,Reptación,8,Reptacion de suelos,Reptación,lr,137
-8434059.3757,232245.209199999,9,-7.58397098089e+56,11408,31549,67,Caida,20,Caida de detritos,Caida,cd,5889
-8443119.5454,254463.436900001,10,-7.58397098089e+56,1764,31546,67,Caida,20,Caida de detritos,Caida,cd,138
-8541018.8532,136716.987500001,11,-7.58397098088e+56,1765,29319,68,Volcamiento,10,Volcamiento de roca,Volcamiento,vr,139
-8413681.7246,236670.054900002,12,-7.58397098089e+56,1766,31541,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,140
-8411919.166,245736.704599999,13,-7.58397098089e+56,1767,31535,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,141
-8429761.2065,258393.715500001,14,-7.58397098089e+56,1768,31556,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,142
-8453973.1958,262231.247499999,15,-7.58397098089e+56,1769,31559,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,143
-8085351.0708,737241.605,16,-7.58397098088e+56,1632,29916,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,36
-8084670.7851,737926.444699999,17,-7.58397098088e+56,1634,29913,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,37
-8084485.2527,738580.1631,18,-7.58397098088e+56,1636,29912,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,38
-8086124.1229,738611.292800002,19,-7.58397098088e+56,1637,29909,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,39
-8077094.8753,683320.854200002,20,-7.58397098088e+56,1638,30125,67,Caida,15,Caida de roca,Caida,cr,40
-8071590.7449,685871.084899999,21,-7.58397098088e+56,1640,30119,71,Flujo,16,Avalancha de detritos,Avalancha,ar,41
-8072271.0307,682885.459899999,22,-7.58397098088e+56,1641,30073,71,Flujo,5,Flujo de detritos,Flujo,fd,42
-8071467.0566,686804.123500001,23,-7.58397098088e+56,1642,30070,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,43
-8109068.3068,744214.914700001,24,-7.58397098088e+56,1643,29919,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,44
-8112655.2682,744650.775899999,25,-7.58397098088e+56,1644,29918,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,45
-8076167.2128,686959.631299999,26,-7.58397098088e+56,1646,30136,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,46
-8081702.2654,685964.3882,27,-7.58397098088e+56,1647,30127,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,47
-8066705.0561,807296.103500001,28,-7.58397098088e+56,1648,29971,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,48
-8067076.1212,807233.763300002,29,-7.58397098088e+56,1650,29970,71,Flujo,17,Flujo de tierra,Flujo,ft,49
-8064076.6793,816928.5856,30,-7.58397098088e+56,1651,29969,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,50
-8064354.978,808324.727400001,31,-7.58397098088e+56,1653,29967,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,51
-8088412.3568,719034.175299998,32,-7.58397098088e+56,1655,29927,67,Caida,15,Caida de roca,Caida,cr,52
-8093576.3443,735280.520100001,33,-7.58397098088e+56,1656,29924,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,53
-8091133.5,731732.066,34,-7.58397098088e+56,1657,29923,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,54
-8370442.909,540335.753199998,35,-7.58397098088e+56,2643,31005,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2174
-8085969.5125,733319.5044,36,-7.58397098088e+56,1658,29922,71,Flujo,16,Avalancha de detritos,Avalancha,ar,55
-8087299.1619,736089.848299999,37,-7.58397098088e+56,1659,29921,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,56
-8094318.4743,699183.827799998,38,-7.58397098088e+56,1660,29920,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,57
-8343395.835,572205.151299998,39,-7.58397098086e+56,6155,1534,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1451
-8368880.9852,540625.776799999,40,-7.58397098088e+56,2645,31004,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2175
-8113601.7931,765029.004799999,41,-7.58397098086e+56,6156,1410,72,Reptación,9,Solifluxion,Reptación,ls,1452
-8040637.7421,722799.673099998,42,-7.58397098088e+56,1661,29915,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,58
-8304553.9909,571503.812,43,-7.58397098086e+56,7224,581,68,Volcamiento,1,Volcamiento flexural de roca,Volcamiento,vf,3173
-8133474.1776,578451.381499998,44,-7.58397098089e+56,12438,35340,71,Flujo,5,Flujo de detritos,Flujo,fd,6643
-8422208.476,566739.916200001,45,-7.58397098088e+56,2647,30959,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2176
-8376019.2486,472736.098299999,46,-7.58397098086e+56,6157,1536,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1453
-8077775.1611,723328.73,47,-7.58397098088e+56,1663,29941,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,59
-8303700.5414,571396.391899999,48,-7.58397098086e+56,7225,580,71,Flujo,17,Flujo de tierra,Flujo,ft,3174
-8421352.0951,546340.006,49,-7.58397098088e+56,2176,30967,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1869
-8417633.8015,561915.2075,50,-7.58397098088e+56,2178,30965,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1870
-8412989.9976,539040.715399999,51,-7.58397098088e+56,10854,30964,67,Caida,20,Caida de detritos,Caida,cd,5509
-8342153.3981,668500.133900002,52,-7.58397098088e+56,2180,30961,67,Caida,20,Caida de detritos,Caida,cd,1871
-8428372.0135,564341.1558,53,-7.58397098088e+56,2181,30958,67,Caida,20,Caida de detritos,Caida,cd,1872
-8412142.6336,563192.765099999,54,-7.58397098088e+56,2183,30957,71,Flujo,5,Flujo de detritos,Flujo,fd,1873
-8408702.1935,438782.409200002,55,-7.58397098088e+56,2337,30249,67,Caida,20,Caida de detritos,Caida,cd,1969
-8454181.9941,445868.649,56,-7.58397098088e+56,2338,30242,67,Caida,15,Caida de roca,Caida,cr,1970
-8438184.6906,452685.204700001,57,-7.58397098088e+56,2340,30207,67,Caida,15,Caida de roca,Caida,cr,1971
-8394217.2024,449300.3785,58,-7.58397098088e+56,2341,30668,67,Caida,15,Caida de roca,Caida,cr,1972
-8419546.0477,617852.694699999,59,-7.58397098088e+56,2343,30701,67,Caida,20,Caida de detritos,Caida,cd,1973
-8435668.4496,622074.537599999,60,-7.58397098088e+56,10860,30715,67,Caida,15,Caida de roca,Caida,cr,5513
-8440674.1531,625925.7368,61,-7.58397098088e+56,10862,30714,67,Caida,20,Caida de detritos,Caida,cd,5514
-8057687.9053,658371.8409,62,-7.58397098089e+56,2486,31305,67,Caida,20,Caida de detritos,Caida,cd,2066
-8057807.1285,658448.501400001,63,-7.58397098089e+56,2487,31296,67,Caida,15,Caida de roca,Caida,cr,2067
-8356568.6413,622861.614,64,-7.58397098088e+56,2489,30901,67,Caida,23,Caida de Tierras,Caida,ct,2068
-8351250.0435,604408.818399999,65,-7.58397098088e+56,2491,30861,72,Reptación,8,Reptacion de suelos,Reptación,lr,2069
-8414179.856,666164.836300001,66,-7.58397098088e+56,2493,30857,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2070
-8416987.5075,667901.986,67,-7.58397098088e+56,2495,30856,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2071
-8071939.8552,589827.5405,68,-7.58397098089e+56,2616,31411,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2158
-8397004.2961,491378.936799999,69,-7.58397098089e+56,2617,31235,67,Caida,20,Caida de detritos,Caida,cd,2159
-8403772.1253,588861.444899999,70,-7.58397098088e+56,2618,31144,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,2160
-8393878.2964,580308.156300001,71,-7.58397098088e+56,2620,31143,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2161
-8403881.5895,588224.2205,72,-7.58397098088e+56,2622,31142,67,Caida,20,Caida de detritos,Caida,cd,2162
-8377226.6074,569077.1752,73,-7.58397098088e+56,2623,31140,67,Caida,15,Caida de roca,Caida,cr,2163
-8407450.3068,561803.7414,74,-7.58397098088e+56,2625,31136,71,Flujo,6,Flujo de lodo,Flujo,fl,2164
-8413627.9696,585491.674899999,75,-7.58397098088e+56,2185,30930,67,Caida,20,Caida de detritos,Caida,cd,1874
-8417035.0139,586084.158300001,76,-7.58397098088e+56,2187,30929,71,Flujo,5,Flujo de detritos,Flujo,fd,1875
-8394938.6146,657769.4406,77,-7.58397098088e+56,2189,30750,67,Caida,23,Caida de Tierras,Caida,ct,1876
-8360162.2201,526305.2269,78,-7.58397098088e+56,10870,31092,67,Caida,20,Caida de detritos,Caida,cd,5518
-8361732.6288,593289.881900001,79,-7.58397098088e+56,2190,30876,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1877
-8400127.1418,442461.262800001,80,-7.58397098088e+56,2192,30545,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1878
-8407386.6197,446088.261500001,81,-7.58397098088e+56,2193,30384,67,Caida,15,Caida de roca,Caida,cr,1879
-8446796.1685,632457.111,82,-7.58397098088e+56,2344,30709,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1974
-8446791.827,632860.617400002,83,-7.58397098088e+56,2345,30706,67,Caida,20,Caida de detritos,Caida,cd,1975
-8026795.5221,645379.861400001,84,-7.58397098089e+56,10874,31377,67,Caida,15,Caida de roca,Caida,cr,5520
-8424344.0291,607564.1208,85,-7.58397098088e+56,10858,30720,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5512
-8436035.4699,613663.7775,86,-7.58397098088e+56,2347,30718,67,Caida,15,Caida de roca,Caida,cr,1976
-8437852.9832,615581.106699999,87,-7.58397098088e+56,2349,30717,67,Caida,15,Caida de roca,Caida,cr,5666
-8348188.7575,604843.674199998,88,-7.58397098088e+56,2351,30851,67,Caida,20,Caida de detritos,Caida,cd,1977
-8434633.5401,661189.689599998,89,-7.58397098088e+56,2496,30824,71,Flujo,6,Flujo de lodo,Flujo,fl,2072
-8246888.0209,599749.825100001,90,-7.58397098088e+56,2497,30896,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2073
-8033410.0149,631838.935699999,91,-7.58397098089e+56,2499,31330,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2074
-8069700.0576,639460.492699999,92,-7.58397098089e+56,2500,31319,67,Caida,15,Caida de roca,Caida,cr,2075
-8063262.4514,627569.704599999,93,-7.58397098089e+56,2502,31326,67,Caida,20,Caida de detritos,Caida,cd,2076
-8067800.0565,635626.835,94,-7.58397098089e+56,2503,31321,67,Caida,15,Caida de roca,Caida,cr,2077
-8359205.058,524941.075100001,95,-7.58397098088e+56,2505,31095,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2078
-8365448.2837,696890.1162,96,-7.58397098088e+56,2052,30727,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2785
-8339283.1983,621743.116300002,97,-7.58397098088e+56,2054,30915,69,Deslizamiento,81,Deslizamiento traslacional en cuña,Deslizamiento,dtc,2786
-8386055.9129,494002.8653,98,-7.58397098089e+56,2055,31256,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2787
-8381606.1389,492829.3948,99,-7.58397098089e+56,2056,31252,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2788
-8373615.8484,475241.3684,100,-7.58397098089e+56,2058,31250,67,Caida,20,Caida de detritos,Caida,cd,2789
-8373025.2985,476566.075800002,101,-7.58397098089e+56,2059,31249,67,Caida,20,Caida de detritos,Caida,cd,2790
-8382952.6594,489799.327399999,102,-7.58397098089e+56,2061,31248,67,Caida,20,Caida de detritos,Caida,cd,2791
-8404852.6542,432053.303300001,103,-7.58397098088e+56,2195,30241,67,Caida,20,Caida de detritos,Caida,cd,1880
-8387013.2852,452328.7053,104,-7.58397098088e+56,2197,30674,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1881
-8394065.5729,458798.798500001,105,-7.58397098088e+56,2199,30667,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1882
-8387055.7845,443181.227899998,106,-7.58397098088e+56,2200,30684,67,Caida,15,Caida de roca,Caida,cr,1883
-8449717.9712,598651.815299999,107,-7.58397098088e+56,2202,30744,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1884
-8449866.1374,599051.873399999,108,-7.58397098088e+56,2203,30743,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1885
-8447216.8448,596703.438700002,109,-7.58397098088e+56,2205,30747,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1886
-8356469.6412,520134.677200001,110,-7.58397098088e+56,2352,31085,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1978
-8025343.1367,650675.159299999,111,-7.58397098089e+56,2354,31368,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5669
-8438256.1205,669392.906,112,-7.58397098088e+56,2355,30831,67,Caida,20,Caida de detritos,Caida,cd,1979
-8026939.2603,631588.418200001,113,-7.58397098089e+56,2357,31398,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1980
-8030428.9903,650657.703,114,-7.58397098089e+56,2359,31352,69,Deslizamiento,18,Deslizamiento en cuña,Deslizamiento,dc,1981
-8453180.1297,663285.939599998,115,-7.58397098088e+56,2361,30839,71,Flujo,5,Flujo de detritos,Flujo,fd,1982
-8443640.8167,655641.595,116,-7.58397098088e+56,2507,30850,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2079
-8036148.0291,630988.087299999,117,-7.58397098089e+56,2509,31331,67,Caida,20,Caida de detritos,Caida,cd,2080
-8067355.3352,609340.036,118,-7.58397098089e+56,2510,31300,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2081
-8371435.8638,515360.9353,119,-7.58397098088e+56,2511,31112,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2082
-8072879.8865,627311.2491,120,-7.58397098089e+56,2512,31333,67,Caida,15,Caida de roca,Caida,cr,2083
-8035425.6769,645729.406300001,121,-7.58397098089e+56,2513,31327,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2084
-8425070.8274,666588.392700002,122,-7.58397098088e+56,10816,30820,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5496
-8381461.7575,489889.8739,123,-7.58397098089e+56,2062,31243,67,Caida,20,Caida de detritos,Caida,cd,2792
-8379154.7723,490009.560699999,124,-7.58397098089e+56,2064,31239,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2793
-8379121.0425,491483.6646,125,-7.58397098088e+56,2066,31228,67,Caida,20,Caida de detritos,Caida,cd,2794
-8375561.0452,492492.094900001,126,-7.58397098088e+56,2067,31227,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2795
-8382914.2542,489791.685800001,127,-7.58397098088e+56,2068,31042,67,Caida,20,Caida de detritos,Caida,cd,2796
-8381429.9943,489884.725699998,128,-7.58397098088e+56,11737,31032,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6122
-8366154.4864,599749.825100001,129,-7.58397098088e+56,2206,30898,72,Reptación,8,Reptacion de suelos,Reptación,lr,1887
-8452033.5279,467057.4789,130,-7.58397098088e+56,2208,30197,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1888
-8452883.1925,465921.945900001,131,-7.58397098088e+56,2209,30271,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1889
-8456687.5361,460797.9615,132,-7.58397098088e+56,2211,30171,67,Caida,20,Caida de detritos,Caida,cd,1890
-8457211.9746,460897.480599999,133,-7.58397098088e+56,2212,30167,67,Caida,20,Caida de detritos,Caida,cd,1891
-8070104.6297,589151.489599999,134,-7.58397098089e+56,2214,31419,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1892
-8345158.3935,622581.987799998,135,-7.58397098088e+56,2362,30921,67,Caida,20,Caida de detritos,Caida,cd,1983
-8390988.5908,485678.6171,136,-7.58397098089e+56,2364,31247,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1984
-8390953.9952,485698.030499998,137,-7.58397098088e+56,2365,31034,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1985
-8361918.1614,596022.860399999,138,-7.58397098088e+56,2366,30874,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1986
-8385412.5975,467857.4494,139,-7.58397098088e+56,2368,30679,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1987
-8117276.4495,512356.756499998,140,-7.58397098089e+56,2370,31439,67,Caida,20,Caida de detritos,Caida,cd,1988
-8076135.8826,623719.415199999,141,-7.58397098089e+56,2516,31334,67,Caida,20,Caida de detritos,Caida,cd,2086
-8358476.6203,549453.375500001,142,-7.58397098088e+56,2517,31105,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2087
-8358276.5792,526707.678300001,143,-7.58397098088e+56,2519,31093,67,Caida,20,Caida de detritos,Caida,cd,2088
-8347013.7184,610869.821699999,144,-7.58397098088e+56,10864,30859,67,Caida,15,Caida de roca,Caida,cr,5515
-8351901.8686,545027.6589,145,-7.58397098088e+56,2520,31101,67,Caida,20,Caida de detritos,Caida,cd,2089
-8045855.7566,612858.233899999,146,-7.58397098089e+56,2521,31304,67,Caida,15,Caida de roca,Caida,cr,2090
-8069613.785,633971.587299999,147,-7.58397098089e+56,2522,31323,67,Caida,20,Caida de detritos,Caida,cd,2091
-8069941.6209,626864.662500001,148,-7.58397098089e+56,2523,31320,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2092
-8379141.7603,489977.765700001,149,-7.58397098088e+56,2069,31029,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2797
-8379079.9162,491497.434700001,150,-7.58397098088e+56,2071,31009,67,Caida,20,Caida de detritos,Caida,cd,2798
-8375956.786,493575.394499999,151,-7.58397098088e+56,2072,31008,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2799
-8361802.4014,671671.907200001,152,-7.58397098088e+56,2073,30925,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2800
-8359290.5797,685437.7509,153,-7.58397098088e+56,10832,30817,67,Caida,15,Caida de roca,Caida,cr,5506
-8358374.6267,686269.258499999,154,-7.58397098088e+56,2074,30814,71,Flujo,5,Flujo de detritos,Flujo,fd,2801
-8160472.5555,512480.744899999,155,-7.58397098089e+56,2215,31393,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1893
-8172742.9443,490226.158399999,156,-7.58397098089e+56,2217,31376,67,Caida,20,Caida de detritos,Caida,cd,1894
-8065584.91,662260.942400001,157,-7.58397098089e+56,2218,31279,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1895
-8374384.3982,590450.805,158,-7.58397098088e+56,2220,31145,67,Caida,15,Caida de roca,Caida,cr,1896
-8341535.1297,668385.852,159,-7.58397098088e+56,2222,30918,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1897
-8341108.9987,667908.243,160,-7.58397098088e+56,2224,30916,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1898
-8115684.3581,513238.800900001,161,-7.58397098089e+56,2372,31437,67,Caida,20,Caida de detritos,Caida,cd,1989
-8106918.8388,539019.712499999,162,-7.58397098089e+56,2373,31435,67,Caida,23,Caida de Tierras,Caida,ct,1990
-8105303.1477,541905.4243,163,-7.58397098089e+56,2374,31433,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1991
-8106528.8866,538670.932100002,164,-7.58397098089e+56,2376,31432,67,Caida,20,Caida de detritos,Caida,cd,1992
-8099695.4284,537187.124899998,165,-7.58397098089e+56,2377,31430,67,Caida,15,Caida de roca,Caida,cr,1993
-8106846.5924,550558.8682,166,-7.58397098089e+56,2379,31425,67,Caida,20,Caida de detritos,Caida,cd,1994
-8413120.5276,662357.376600001,167,-7.58397098088e+56,2524,30860,67,Caida,15,Caida de roca,Caida,cr,2093
-8450736.9505,660336.584199999,168,-7.58397098088e+56,2525,30840,67,Caida,15,Caida de roca,Caida,cr,2094
-7897222.8681,643621.969700001,169,-7.58397098089e+56,2527,31347,67,Caida,20,Caida de detritos,Caida,cd,2095
-8436644.1525,669035.343,170,-7.58397098088e+56,2529,30830,67,Caida,15,Caida de roca,Caida,cr,2096
-8307181.6008,540118.348,171,-7.58397098088e+56,2531,31116,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2097
-8052990.1857,613819.1043,172,-7.58397098089e+56,2533,31316,67,Caida,15,Caida de roca,Caida,cr,2098
-8357972.1946,686616.581599999,173,-7.58397098088e+56,2075,30812,71,Flujo,5,Flujo de detritos,Flujo,fd,2802
-8319426.1246,690809.856400002,174,-7.58397098088e+56,2076,30807,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2803
-8325096.6308,691194.808800001,175,-7.58397098088e+56,2078,30802,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2804
-8351759.8292,698765.9507,176,-7.58397098088e+56,2080,30800,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2805
-8352624.0744,702007.9527,177,-7.58397098088e+56,2081,30799,71,Flujo,17,Flujo de tierra,Flujo,ft,2806
-8365028.1387,686328.7086,178,-7.58397098088e+56,2083,30777,67,Caida,23,Caida de Tierras,Caida,ct,2807
-8337393.3037,696477.787799999,179,-7.58397098088e+56,2084,30775,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2808
-8387065.9843,638107.244199999,180,-7.58397098088e+56,2226,30811,72,Reptación,8,Reptacion de suelos,Reptación,lr,1899
-8393721.6879,662122.974,181,-7.58397098088e+56,2227,30808,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1900
-8393408.3187,661831.8257,182,-7.58397098088e+56,2228,30806,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1901
-8403315.4062,667324.354600001,183,-7.58397098088e+56,2230,30803,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1902
-8412375.2697,662369.366300002,184,-7.58397098088e+56,2232,30795,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1903
-8407601.7889,662914.771499999,185,-7.58397098088e+56,2234,30792,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1904
-8410667.1766,659048.698899999,186,-7.58397098088e+56,2235,30788,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1905
-8111613.293,550549.035500001,187,-7.58397098089e+56,2380,31423,67,Caida,20,Caida de detritos,Caida,cd,1995
-8122431.2841,548956.228300001,188,-7.58397098089e+56,2381,31414,67,Caida,20,Caida de detritos,Caida,cd,1996
-8118966.502,548241.4197,189,-7.58397098089e+56,2383,31412,67,Caida,15,Caida de roca,Caida,cr,1997
-8391241.4637,663196.100400001,190,-7.58397098088e+56,2385,30804,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1998
-8381663.3571,468184.7172,191,-7.58397098088e+56,2387,30681,67,Caida,23,Caida de Tierras,Caida,ct,1999
-8388976.3797,467556.8596,192,-7.58397098088e+56,2388,30677,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2000
-8363495.1875,606614.187199999,193,-7.58397098088e+56,10865,30877,67,Caida,15,Caida de roca,Caida,cr,5516
-8360573.6569,517666.2586,194,-7.58397098088e+56,2534,31107,67,Caida,20,Caida de detritos,Caida,cd,2099
-8448199.9073,599437.6219,195,-7.58397098088e+56,2535,30746,67,Caida,20,Caida de detritos,Caida,cd,2100
-8371435.8638,515360.9353,196,-7.58397098088e+56,2536,31086,69,Deslizamiento,81,Deslizamiento traslacional en cuña,Deslizamiento,dtc,2101
-8362305.4542,517815.136599999,197,-7.58397098088e+56,2537,31087,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2102
